,매출액(억원),영업이익(억원),영업이익률(%),당기순이익(억원),순이익률(%)
2021년,2796047.99,516338.56,18.47,399074.5,14.27
2022년,3022313.6,433766.3,14.35,556540.77,18.41
2023년,2589354.94,65669.76,2.54,154871.0,5.98
