계정명,2021년,2022년,2023년
매출액,279604799000000.0,302231360000000.0,258935494000000.0
영업이익,51633856000000.0,43376630000000.0,6566976000000.0
당기순이익,39907450000000.0,55654077000000.0,15487100000000.0
