,매출액(억원),영업이익(억원),영업이익률(%),당기순이익(억원),순이익률(%)
2021년,429977.92,124103.4,28.86,96161.88,22.36
2022년,446215.68,68094.17,15.26,22416.69,5.02
2023년,327657.19,-77303.13,-23.59,-91375.47,-27.89
