계정명,2021년,2022년,2023년
매출액,42997792000000.0,44621568000000.0,32765719000000.0
영업이익,12410340000000.0,6809417000000.0,-7730313000000.0
당기순이익,9616188000000.0,2241669000000.0,-9137547000000.0
